               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092919,            0.081325,            0.046923,           0.0016666,           0.0080831,          0.00082123,          0.00023896,             0.12506,              2.3789,            0.065111,              0.0757,              0.0027,              0.0027
                   1,             0.07735,            0.085268,            0.039758,          7.0138e-05,            0.014854,          3.9288e-05,          1.0212e-05,             0.12264,              16.527,             0.31452,            0.050482,           0.0054818,           0.0054818
                   2,            0.076585,            0.081357,            0.040962,              0.4327,            0.010461,           0.0010267,          0.00024716,             0.13222,             0.10584,             0.36023,            0.025245,           0.0082452,           0.0082452
                   3,            0.075468,            0.078926,            0.038837,             0.31069,            0.077952,           0.0080302,           0.0015982,            0.096669,             0.56908,            0.060259,            0.009901,            0.009901,            0.009901
                   4,            0.073385,            0.083752,            0.036219,             0.45815,            0.023692,           0.0085464,           0.0026305,             0.10884,             0.39009,            0.059366,            0.009901,            0.009901,            0.009901
                   5,            0.073559,            0.083359,            0.033692,             0.48877,             0.14175,            0.032803,           0.0096626,            0.079255,             0.35513,            0.045851,            0.009868,            0.009868,            0.009868
                   6,            0.070353,            0.079808,             0.03302,              0.1992,             0.11275,            0.024968,           0.0074954,             0.10032,             0.13428,            0.097496,            0.009835,            0.009835,            0.009835
                   7,              0.0674,            0.081259,            0.031992,             0.78193,            0.070895,            0.072972,            0.023424,            0.072476,             0.31644,            0.044615,            0.009802,            0.009802,            0.009802
                   8,            0.065804,             0.07971,            0.031718,             0.55474,             0.18736,             0.12912,            0.043568,            0.065154,             0.11037,            0.037617,            0.009769,            0.009769,            0.009769
                   9,             0.06424,            0.080096,            0.029972,             0.30237,             0.23787,             0.15976,             0.05947,            0.063849,            0.067115,             0.03152,            0.009736,            0.009736,            0.009736
                  10,            0.063377,            0.081158,            0.030632,             0.27668,             0.27581,             0.15663,            0.052544,            0.069257,            0.066798,            0.044414,            0.009703,            0.009703,            0.009703
                  11,            0.063085,            0.081227,            0.029539,             0.11081,              0.2348,            0.081324,             0.02512,            0.071999,            0.089515,            0.044253,             0.00967,             0.00967,             0.00967
                  12,            0.062793,            0.081333,            0.028725,             0.65189,              0.1132,            0.097881,            0.037389,            0.068338,             0.11719,            0.054183,            0.009637,            0.009637,            0.009637
                  13,             0.06113,            0.080764,            0.026313,             0.12885,             0.28338,             0.18967,            0.063192,            0.064747,            0.059412,            0.028338,            0.009604,            0.009604,            0.009604
                  14,            0.061796,            0.078883,            0.024761,             0.16256,             0.31245,             0.18422,            0.062946,            0.063881,            0.059363,            0.027658,            0.009571,            0.009571,            0.009571
                  15,            0.061798,            0.081172,            0.025101,             0.42405,             0.34455,             0.27815,             0.10734,            0.061156,            0.095119,            0.024195,            0.009538,            0.009538,            0.009538
                  16,            0.060545,             0.07982,            0.025068,             0.30304,             0.37227,              0.2868,             0.11192,            0.058079,            0.058571,             0.02339,            0.009505,            0.009505,            0.009505
                  17,            0.060345,            0.081521,            0.023734,             0.50605,             0.26796,              0.2491,            0.098159,            0.058663,            0.061767,            0.028515,            0.009472,            0.009472,            0.009472
                  18,            0.058554,            0.076135,            0.023597,             0.22358,             0.36616,             0.25117,            0.092505,            0.060425,            0.059628,            0.029542,            0.009439,            0.009439,            0.009439
                  19,            0.058397,             0.08063,             0.02228,             0.21742,             0.37426,             0.26807,             0.10468,             0.05688,            0.060006,            0.020844,            0.009406,            0.009406,            0.009406
                  20,            0.057387,             0.07693,            0.021924,             0.26584,             0.39603,             0.30651,             0.11666,             0.05685,            0.064048,            0.021246,            0.009373,            0.009373,            0.009373
                  21,            0.056886,            0.078439,            0.020973,             0.24919,             0.42219,              0.3017,             0.11026,            0.056794,            0.059732,            0.021113,             0.00934,             0.00934,             0.00934
                  22,            0.057573,            0.071644,            0.022302,             0.30518,             0.39389,              0.2903,             0.11069,             0.05601,            0.064386,            0.033509,            0.009307,            0.009307,            0.009307
                  23,            0.056681,              0.0748,            0.020869,             0.29701,             0.35806,              0.2883,             0.10255,            0.057753,            0.067391,            0.028071,            0.009274,            0.009274,            0.009274
                  24,            0.058491,            0.072104,            0.020223,             0.32886,             0.38365,             0.31592,             0.11489,            0.059594,            0.058136,             0.01824,            0.009241,            0.009241,            0.009241
