               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12299,            0.066329,            0.064522,           0.0026313,             0.15698,           0.0032325,          0.00067335,             0.10884,            0.054776,            0.057344,              0.0757,              0.0027,              0.0027
                   1,            0.098358,            0.075887,            0.046974,            0.018206,              0.1569,            0.012773,           0.0030809,            0.097123,            0.090446,            0.052051,            0.050482,           0.0054818,           0.0054818
                   2,            0.086765,            0.068786,            0.042244,              0.2658,            0.089176,            0.019089,           0.0037641,             0.10062,             0.07446,            0.044608,            0.025245,           0.0082452,           0.0082452
                   3,            0.087586,            0.061439,            0.039232,             0.42702,             0.20379,            0.097194,            0.026919,            0.078755,                0.07,            0.038274,            0.009901,            0.009901,            0.009901
                   4,             0.07925,            0.067586,            0.034793,             0.20916,             0.29287,             0.16182,             0.05395,            0.070973,            0.068381,            0.033015,            0.009901,            0.009901,            0.009901
                   5,             0.07092,            0.072629,            0.031494,             0.13245,             0.36395,               0.131,            0.046055,            0.070045,            0.060118,            0.030728,            0.009868,            0.009868,            0.009868
                   6,            0.067846,            0.068469,            0.028532,             0.34889,             0.23013,             0.17333,            0.064001,            0.062977,            0.062725,            0.027287,            0.009835,            0.009835,            0.009835
                   7,            0.063517,              0.0708,            0.026206,             0.31786,             0.29822,             0.17838,            0.063772,             0.06104,            0.055434,            0.024626,            0.009802,            0.009802,            0.009802
                   8,            0.061084,              0.0687,            0.024104,             0.53465,             0.24734,             0.23085,            0.086992,            0.058872,            0.055891,            0.024487,            0.009769,            0.009769,            0.009769
                   9,            0.058353,            0.069794,            0.023913,             0.60838,             0.23616,             0.27185,             0.10577,            0.056045,            0.064318,            0.027128,            0.009736,            0.009736,            0.009736
                  10,             0.05859,            0.069567,            0.023555,              0.3632,             0.36364,             0.30411,             0.12421,             0.05474,            0.053548,            0.022208,            0.009703,            0.009703,            0.009703
                  11,            0.054831,            0.069432,            0.021409,             0.39067,             0.33651,             0.27391,             0.11575,            0.057001,             0.05448,            0.024628,             0.00967,             0.00967,             0.00967
                  12,            0.058871,            0.069183,            0.021642,             0.43648,             0.38661,             0.36295,              0.1445,            0.054816,            0.052979,            0.020974,            0.009637,            0.009637,            0.009637
                  13,             0.05687,            0.067324,            0.019716,             0.43037,             0.40531,              0.3505,             0.15877,            0.052455,            0.054258,            0.021293,            0.009604,            0.009604,            0.009604
