               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069528,            0.025776,            0.092571,           0.0036398,              0.9116,            0.032424,            0.013931,            0.049384,            0.011142,            0.085671,             0.07038,           0.0032911,           0.0032911
                   1,            0.049308,            0.018815,            0.087377,           0.0045704,             0.93686,            0.030786,            0.014009,            0.042113,           0.0091794,            0.081391,            0.040336,           0.0065808,           0.0065808
                   2,            0.044145,            0.015718,            0.085634,           0.0083899,             0.86042,            0.037311,            0.020466,             0.04047,           0.0098439,            0.080668,            0.010248,           0.0098264,           0.0098264
                   3,             0.03841,            0.015451,            0.084638,             0.14515,             0.13266,            0.055044,            0.031203,            0.031498,           0.0091697,            0.078656,            0.009802,            0.009802,            0.009802
                   4,            0.036279,            0.014504,            0.083213,            0.049887,             0.32155,            0.065685,            0.041111,            0.027946,           0.0066788,            0.076532,            0.009802,            0.009802,            0.009802
                   5,            0.033061,            0.013771,            0.080781,             0.24172,             0.20946,            0.085182,            0.046432,            0.030341,           0.0066481,             0.07342,            0.009736,            0.009736,            0.009736
                   6,            0.032595,             0.01358,            0.078733,             0.18746,             0.24254,            0.097248,             0.06525,            0.026877,           0.0071129,            0.072296,             0.00967,             0.00967,             0.00967
                   7,            0.031959,            0.013099,            0.077082,              0.3322,             0.25352,             0.11141,            0.074683,            0.025258,            0.006578,             0.07112,            0.009604,            0.009604,            0.009604
                   8,            0.031076,            0.012923,            0.075933,             0.19036,              0.2634,             0.11528,             0.07678,            0.029993,           0.0075767,              0.0719,            0.009538,            0.009538,            0.009538
                   9,            0.031292,            0.013162,            0.074751,             0.30836,             0.25681,             0.13784,            0.088534,            0.026637,           0.0070846,            0.070305,            0.009472,            0.009472,            0.009472
                  10,            0.030277,            0.012512,            0.073781,             0.21697,             0.37783,             0.16609,             0.11304,            0.026381,           0.0063024,             0.06695,            0.009406,            0.009406,            0.009406
                  11,             0.02955,            0.012301,            0.072179,             0.16487,             0.31758,             0.15548,             0.10253,            0.027544,           0.0066247,            0.067024,             0.00934,             0.00934,             0.00934
                  12,            0.029459,            0.012093,            0.071152,             0.14012,             0.41555,             0.16849,             0.11882,            0.023561,           0.0062284,            0.067155,            0.009274,            0.009274,            0.009274
                  13,             0.02905,            0.012297,            0.070073,             0.21069,             0.40716,             0.23993,             0.17371,              0.0204,            0.005643,            0.065471,            0.009208,            0.009208,            0.009208
                  14,            0.028674,            0.011881,            0.068477,             0.16778,             0.41199,             0.23781,             0.16917,             0.02267,           0.0062201,            0.062683,            0.009142,            0.009142,            0.009142
                  15,            0.029462,            0.011825,            0.066015,             0.16803,             0.42377,             0.22739,             0.15849,            0.024934,           0.0059742,            0.067989,            0.009076,            0.009076,            0.009076
                  16,            0.029424,             0.01204,            0.065006,             0.23263,             0.52278,             0.30967,             0.21889,            0.021649,           0.0059714,            0.058918,             0.00901,             0.00901,             0.00901
                  17,             0.02886,            0.011915,            0.063228,             0.20948,             0.40336,             0.24866,             0.16763,             0.02372,           0.0064667,               0.061,            0.008944,            0.008944,            0.008944
                  18,            0.029212,            0.011787,            0.060311,             0.25364,             0.47486,             0.30284,             0.20775,            0.026454,           0.0066466,            0.057612,            0.008878,            0.008878,            0.008878
                  19,            0.029819,              0.0121,            0.058566,             0.27659,             0.52014,             0.35388,             0.25128,            0.024293,           0.0059984,            0.054855,            0.008812,            0.008812,            0.008812
                  20,            0.030101,            0.012128,            0.057554,             0.31215,             0.49275,             0.39552,             0.26463,            0.023164,           0.0063894,            0.052403,            0.008746,            0.008746,            0.008746
                  21,            0.029972,            0.011731,            0.055734,             0.34897,             0.58068,             0.47237,             0.34207,            0.022375,           0.0055545,            0.048624,             0.00868,             0.00868,             0.00868
                  22,            0.029933,            0.011755,            0.053324,             0.27477,             0.48935,             0.36052,              0.2398,            0.024749,           0.0063267,            0.056784,            0.008614,            0.008614,            0.008614
                  23,            0.029719,            0.012062,            0.053132,             0.39482,             0.59953,             0.48041,             0.33579,            0.021936,            0.005811,             0.04834,            0.008548,            0.008548,            0.008548
                  24,            0.030151,            0.011649,            0.051547,             0.40088,             0.56952,             0.48803,              0.3463,            0.022417,            0.005795,             0.04741,            0.008482,            0.008482,            0.008482
                  25,            0.030121,            0.011779,            0.050108,             0.38304,             0.58039,             0.46255,             0.31439,             0.02452,           0.0063746,            0.048329,            0.008416,            0.008416,            0.008416
                  26,            0.030411,            0.012037,            0.048397,             0.45352,             0.57384,             0.52528,             0.34817,            0.023327,           0.0058524,            0.043754,             0.00835,             0.00835,             0.00835
                  27,            0.029945,            0.011955,            0.046523,             0.44023,             0.55097,             0.49642,             0.34121,            0.024022,           0.0058779,            0.049274,            0.008284,            0.008284,            0.008284
                  28,            0.030786,            0.011712,             0.04541,             0.48779,             0.58607,             0.55426,             0.38985,            0.023756,            0.005981,             0.04414,            0.008218,            0.008218,            0.008218
                  29,            0.030544,            0.011699,            0.043367,             0.52603,             0.60891,             0.61038,             0.44422,            0.023138,           0.0057829,            0.042681,            0.008152,            0.008152,            0.008152
                  30,            0.030313,            0.011856,            0.043093,             0.51581,             0.57806,             0.56516,             0.38721,            0.023959,           0.0059258,            0.040508,            0.008086,            0.008086,            0.008086
                  31,            0.029729,            0.011858,            0.041394,             0.50396,              0.5833,             0.59272,             0.42385,            0.022902,           0.0060595,            0.043194,             0.00802,             0.00802,             0.00802
                  32,              0.0307,            0.011796,            0.041663,             0.47318,             0.57645,             0.55465,              0.3783,            0.022266,            0.005975,            0.046469,            0.007954,            0.007954,            0.007954
                  33,            0.029725,            0.012198,            0.041252,             0.56134,             0.63759,             0.62093,             0.43928,            0.021996,           0.0058762,            0.038193,            0.007888,            0.007888,            0.007888
                  34,            0.029451,            0.011905,            0.038979,             0.47894,             0.54521,             0.52581,              0.3585,            0.024419,           0.0069716,             0.04491,            0.007822,            0.007822,            0.007822
                  35,            0.030125,            0.011916,            0.038842,             0.55081,             0.62968,             0.62684,              0.4387,            0.022047,           0.0056437,            0.039581,            0.007756,            0.007756,            0.007756
                  36,            0.029888,            0.011864,            0.037113,             0.52497,             0.57404,             0.55151,             0.36442,            0.025726,           0.0065976,            0.046817,             0.00769,             0.00769,             0.00769
                  37,            0.029794,            0.012022,            0.036945,              0.6216,             0.68783,             0.72618,              0.5148,            0.021379,           0.0056648,            0.037118,            0.007624,            0.007624,            0.007624
                  38,            0.029628,            0.011834,            0.038289,             0.57542,             0.60945,             0.62319,              0.4306,            0.022349,           0.0059906,             0.03809,            0.007558,            0.007558,            0.007558
                  39,            0.030202,            0.011653,            0.036909,              0.5645,             0.60077,             0.59848,             0.42655,            0.023431,           0.0062127,            0.041531,            0.007492,            0.007492,            0.007492
                  40,            0.029988,            0.011716,            0.034836,             0.61313,             0.60273,             0.64633,             0.45746,            0.023015,           0.0059474,            0.036271,            0.007426,            0.007426,            0.007426
                  41,            0.029947,            0.011397,            0.033235,             0.60922,             0.66178,             0.69381,              0.4954,            0.023449,           0.0057025,            0.036073,             0.00736,             0.00736,             0.00736
                  42,            0.029049,            0.011743,            0.032956,             0.58888,             0.62809,              0.6576,              0.4733,            0.020496,           0.0056195,              0.0369,            0.007294,            0.007294,            0.007294
                  43,            0.028599,            0.011395,            0.032382,             0.63072,             0.71454,             0.73488,             0.53057,            0.021865,           0.0056276,            0.035375,            0.007228,            0.007228,            0.007228
                  44,             0.03016,            0.011555,            0.033661,              0.6076,             0.65108,             0.65882,             0.46674,            0.022723,           0.0059522,            0.037647,            0.007162,            0.007162,            0.007162
                  45,            0.028777,             0.01187,             0.03249,             0.67776,             0.64249,             0.71166,             0.50639,            0.021903,           0.0055058,              0.0324,            0.007096,            0.007096,            0.007096
                  46,             0.02841,            0.011433,            0.029877,             0.68773,             0.63507,             0.73099,             0.51949,            0.021027,            0.005782,            0.031677,             0.00703,             0.00703,             0.00703
                  47,            0.029245,            0.011474,            0.030915,             0.65426,             0.70084,             0.73788,             0.53083,            0.020938,           0.0057368,            0.037414,            0.006964,            0.006964,            0.006964
                  48,            0.028766,            0.011523,            0.030888,             0.66297,             0.72026,             0.75156,             0.55181,            0.021607,           0.0056855,            0.032985,            0.006898,            0.006898,            0.006898
                  49,            0.028172,            0.011575,             0.03005,             0.67391,             0.68052,             0.73124,             0.53467,            0.021864,            0.005619,            0.035102,            0.006832,            0.006832,            0.006832
                  50,            0.028155,            0.011511,            0.029798,             0.62434,             0.71143,             0.73128,             0.53748,            0.021572,           0.0054267,            0.035648,            0.006766,            0.006766,            0.006766
                  51,            0.028666,            0.011159,            0.028151,             0.67317,             0.65086,             0.72607,             0.53176,            0.022069,           0.0055928,            0.031688,              0.0067,              0.0067,              0.0067
                  52,            0.028204,            0.010978,            0.028069,             0.69713,             0.63195,             0.72773,             0.52345,            0.021698,           0.0058431,            0.037537,            0.006634,            0.006634,            0.006634
                  53,            0.028759,            0.011393,            0.027906,             0.66734,             0.72226,             0.77098,             0.57216,            0.022802,           0.0053265,            0.035054,            0.006568,            0.006568,            0.006568
                  54,            0.027171,            0.011037,            0.026753,             0.70006,             0.70778,             0.77565,              0.5737,            0.021017,           0.0053723,            0.032895,            0.006502,            0.006502,            0.006502
                  55,            0.028078,            0.011095,            0.026748,             0.66644,             0.66173,             0.71705,             0.52145,             0.02444,           0.0059546,            0.033191,            0.006436,            0.006436,            0.006436
                  56,            0.027941,            0.011189,            0.025395,             0.67221,             0.67876,             0.73317,             0.55328,            0.023645,           0.0054909,            0.033655,             0.00637,             0.00637,             0.00637
                  57,            0.027746,            0.011199,            0.026554,             0.66986,             0.73259,             0.75545,             0.56184,            0.021429,           0.0053065,            0.033234,            0.006304,            0.006304,            0.006304
                  58,            0.028405,            0.011173,            0.026169,             0.74108,              0.6768,              0.7683,             0.56547,            0.021566,           0.0054822,            0.032472,            0.006238,            0.006238,            0.006238
                  59,            0.027227,            0.011221,            0.026251,             0.66211,             0.74362,             0.76428,             0.55941,            0.022659,           0.0054702,            0.038542,            0.006172,            0.006172,            0.006172
                  60,            0.026417,            0.011137,            0.023206,             0.70114,             0.70372,             0.77319,             0.57581,            0.019249,           0.0052624,            0.030431,            0.006106,            0.006106,            0.006106
