               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072604,             0.02603,            0.023643,             0.44031,             0.51178,             0.41547,             0.17585,            0.045059,            0.011025,            0.016527,             0.07037,           0.0032922,           0.0032922
                   1,            0.054932,             0.01851,            0.011631,             0.58026,             0.62875,              0.6637,             0.31596,            0.043329,            0.011039,            0.011995,            0.040327,           0.0065818,           0.0065818
                   2,             0.04765,             0.01685,            0.010802,             0.59991,             0.54951,             0.61576,             0.25793,             0.04462,            0.011205,            0.016544,            0.010239,           0.0098274,           0.0098274
                   3,            0.042785,            0.016488,           0.0092417,             0.63915,             0.48762,             0.53695,             0.27045,            0.043204,            0.010645,            0.014748,            0.009802,            0.009802,            0.009802
                   4,            0.037971,            0.015758,            0.008717,             0.83662,             0.78976,              0.8573,             0.44636,            0.036172,           0.0078587,           0.0072817,            0.009802,            0.009802,            0.009802
                   5,            0.036942,            0.015088,           0.0077332,             0.88561,             0.84187,              0.8988,             0.57037,            0.026555,           0.0082594,           0.0070287,            0.009736,            0.009736,            0.009736
                   6,            0.035032,            0.014756,           0.0060726,             0.90713,              0.8584,             0.92552,             0.59514,            0.028054,            0.007092,           0.0086325,             0.00967,             0.00967,             0.00967
                   7,            0.033639,             0.01478,           0.0075024,             0.82819,             0.79802,              0.8672,             0.48423,            0.032578,           0.0080704,            0.010288,            0.009604,            0.009604,            0.009604
                   8,            0.032697,            0.014396,           0.0062472,             0.88119,             0.85459,             0.90922,              0.5956,            0.027488,            0.007099,            0.008953,            0.009538,            0.009538,            0.009538
                   9,            0.031674,            0.013914,           0.0063948,             0.92226,              0.9198,             0.95581,             0.64094,            0.024472,           0.0066847,           0.0080863,            0.009472,            0.009472,            0.009472
                  10,            0.030844,            0.013746,           0.0063082,             0.88503,             0.88364,             0.93437,             0.60951,            0.025273,           0.0071412,           0.0067373,            0.009406,            0.009406,            0.009406
                  11,            0.030441,            0.014012,           0.0056678,              0.9079,              0.8741,             0.92172,             0.62378,            0.027583,           0.0067027,           0.0063512,             0.00934,             0.00934,             0.00934
                  12,            0.029906,            0.013127,           0.0045436,             0.91518,             0.91879,             0.96367,             0.65902,            0.024895,            0.006279,           0.0045859,            0.009274,            0.009274,            0.009274
                  13,            0.029082,            0.012643,           0.0049017,             0.91413,             0.84896,             0.93969,             0.66858,            0.022914,           0.0068797,           0.0044166,            0.009208,            0.009208,            0.009208
                  14,            0.028537,            0.012704,           0.0043071,             0.91181,             0.90752,              0.9443,             0.67082,            0.026126,           0.0061368,            0.004386,            0.009142,            0.009142,            0.009142
                  15,            0.028181,            0.012955,           0.0044736,             0.91689,             0.84896,             0.92405,             0.63296,            0.028466,           0.0070796,           0.0028302,            0.009076,            0.009076,            0.009076
                  16,            0.028285,            0.012847,           0.0046134,             0.90788,             0.89441,             0.95975,              0.6876,            0.021953,           0.0063473,           0.0059432,             0.00901,             0.00901,             0.00901
                  17,            0.028254,            0.012688,           0.0038972,             0.92453,             0.93098,             0.95992,             0.70553,            0.021725,            0.005882,           0.0056773,            0.008944,            0.008944,            0.008944
                  18,            0.027437,            0.012666,           0.0058458,             0.95444,              0.8961,             0.96955,             0.66399,            0.023577,           0.0060912,           0.0019792,            0.008878,            0.008878,            0.008878
                  19,            0.026818,            0.012427,           0.0038868,             0.93826,             0.93077,               0.965,             0.68189,            0.022555,           0.0061441,           0.0019806,            0.008812,            0.008812,            0.008812
                  20,            0.026739,            0.012247,            0.003969,             0.95981,             0.93757,             0.97531,             0.69987,            0.022181,           0.0060502,           0.0022923,            0.008746,            0.008746,            0.008746
                  21,            0.027234,            0.011759,           0.0041112,              0.9096,             0.90279,             0.94525,             0.66682,            0.022777,           0.0066089,           0.0069883,             0.00868,             0.00868,             0.00868
                  22,            0.025929,            0.012109,           0.0041064,             0.89865,             0.88086,              0.9323,             0.65508,            0.022947,           0.0064815,           0.0092513,            0.008614,            0.008614,            0.008614
                  23,            0.026791,            0.012502,           0.0045349,             0.84954,             0.85765,              0.9367,              0.6541,            0.022774,           0.0065632,           0.0083794,            0.008548,            0.008548,            0.008548
                  24,            0.026365,             0.01234,           0.0040292,             0.93513,             0.94286,             0.96928,             0.70233,             0.02249,           0.0060994,           0.0022703,            0.008482,            0.008482,            0.008482
                  25,             0.02595,            0.012016,           0.0043197,             0.95479,             0.92906,             0.97377,              0.7296,            0.020888,           0.0056206,           0.0031603,            0.008416,            0.008416,            0.008416
                  26,            0.025924,            0.011845,           0.0040522,              0.9526,             0.94839,             0.97665,             0.74108,            0.019629,           0.0055088,           0.0043324,             0.00835,             0.00835,             0.00835
                  27,             0.02598,             0.01178,           0.0030309,             0.95651,             0.93626,             0.97575,             0.74347,            0.019846,           0.0055697,           0.0030538,            0.008284,            0.008284,            0.008284
                  28,            0.025254,             0.01189,           0.0038839,             0.95175,             0.94789,             0.98258,              0.7415,            0.020733,           0.0054579,           0.0020124,            0.008218,            0.008218,            0.008218
                  29,            0.025108,            0.011447,           0.0041766,              0.9307,              0.9486,             0.96779,             0.71457,            0.021409,            0.005761,           0.0049792,            0.008152,            0.008152,            0.008152
                  30,            0.024993,            0.011699,           0.0032282,             0.95485,             0.94241,             0.97868,             0.72634,            0.020358,           0.0059032,           0.0053243,            0.008086,            0.008086,            0.008086
                  31,            0.024505,            0.011397,           0.0034186,             0.97119,             0.95355,             0.97958,             0.74186,            0.019185,             0.00546,           0.0048656,             0.00802,             0.00802,             0.00802
                  32,            0.024415,            0.011142,           0.0032031,             0.95447,             0.95571,             0.97486,             0.74661,            0.018875,           0.0054533,           0.0058994,            0.007954,            0.007954,            0.007954
                  33,            0.024853,            0.011072,           0.0031818,             0.96947,             0.94439,             0.98314,             0.76408,            0.018813,           0.0053798,           0.0070661,            0.007888,            0.007888,            0.007888
                  34,            0.024137,            0.011297,           0.0029044,             0.95809,             0.96173,             0.98044,             0.76098,            0.019352,           0.0053362,           0.0040795,            0.007822,            0.007822,            0.007822
                  35,            0.023697,            0.010974,           0.0030097,             0.96762,             0.94426,             0.98492,             0.76564,            0.018489,           0.0054655,           0.0022757,            0.007756,            0.007756,            0.007756
                  36,            0.023803,            0.011054,           0.0033727,             0.95103,             0.95168,             0.98506,             0.76633,            0.018003,            0.005129,           0.0011133,             0.00769,             0.00769,             0.00769
                  37,            0.023907,            0.011172,           0.0031895,             0.98062,              0.9462,             0.98591,             0.77551,             0.01982,           0.0051358,           0.0020713,            0.007624,            0.007624,            0.007624
