               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087044,            0.082979,            0.045636,           0.0034953,            0.031892,           0.0018699,           0.0007352,             0.11987,              4.0641,             0.14086,              0.0757,              0.0027,              0.0027
                   1,            0.076085,            0.083142,            0.040734,          1.6323e-05,            0.003663,          9.1812e-06,          2.7019e-06,               0.135,              14.994,             0.54997,            0.050482,           0.0054818,           0.0054818
                   2,             0.07562,            0.086462,            0.038979,          0.00036635,           0.0089535,          0.00018256,          5.2256e-05,                 nan,                 nan,              2.8158,            0.025245,           0.0082452,           0.0082452
                   3,             0.07444,            0.082978,              0.0379,              0.2863,            0.019699,          0.00019865,          3.4794e-05,             0.15683,              2.4613,             0.82299,            0.009901,            0.009901,            0.009901
                   4,            0.072085,            0.082125,            0.036938,             0.15734,            0.034537,           0.0062935,           0.0017618,            0.097972,              1.1709,            0.092323,            0.009901,            0.009901,            0.009901
                   5,            0.069746,             0.08467,             0.03253,             0.30961,              0.1658,            0.022527,           0.0063317,             0.08231,             0.49863,            0.044509,            0.009868,            0.009868,            0.009868
                   6,            0.067598,            0.087214,            0.031934,             0.33242,             0.15707,            0.054257,            0.015694,            0.079077,             0.13998,            0.048693,            0.009835,            0.009835,            0.009835
                   7,            0.065941,            0.079097,            0.031022,             0.36565,             0.23607,            0.089937,            0.026745,            0.074602,             0.17371,            0.078596,            0.009802,            0.009802,            0.009802
                   8,             0.06636,            0.079416,            0.031595,              0.2167,             0.22646,            0.079123,            0.022731,            0.071839,             0.17965,            0.034934,            0.009769,            0.009769,            0.009769
                   9,            0.063568,            0.076933,            0.029892,             0.71343,             0.16491,             0.15302,            0.051569,             0.06948,             0.12077,            0.030812,            0.009736,            0.009736,            0.009736
                  10,            0.063541,            0.076674,            0.029594,             0.44106,             0.25472,             0.19004,            0.072876,            0.064167,            0.079763,            0.031215,            0.009703,            0.009703,            0.009703
                  11,            0.062837,            0.076788,            0.028285,             0.13771,             0.39892,             0.19463,            0.068912,            0.064634,             0.10278,             0.02697,             0.00967,             0.00967,             0.00967
                  12,            0.062992,             0.08286,            0.026659,             0.40291,             0.25591,             0.17629,            0.057565,            0.062422,            0.091246,            0.047448,            0.009637,            0.009637,            0.009637
                  13,            0.061168,            0.080227,            0.026568,             0.17753,             0.35678,             0.24731,            0.096917,            0.059672,             0.06953,            0.027108,            0.009604,            0.009604,            0.009604
                  14,            0.060382,            0.075316,            0.025555,             0.17185,             0.39281,             0.23201,            0.087093,            0.059272,            0.063768,            0.023967,            0.009571,            0.009571,            0.009571
                  15,            0.058757,            0.080665,            0.024896,             0.18633,             0.40657,             0.23363,             0.09063,               0.059,            0.065896,            0.023467,            0.009538,            0.009538,            0.009538
                  16,            0.058795,            0.078444,            0.023844,              0.2981,             0.36739,             0.29294,             0.11242,            0.058486,            0.062899,            0.021079,            0.009505,            0.009505,            0.009505
