               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1136,            0.071499,            0.059878,           0.0061314,             0.30396,            0.011117,           0.0025269,            0.097008,            0.064123,            0.054489,              0.0757,              0.0027,              0.0027
                   1,            0.091294,            0.078608,            0.047498,            0.023541,             0.14931,            0.020894,           0.0053673,             0.09073,            0.083915,             0.04885,            0.050482,           0.0054818,           0.0054818
                   2,            0.084039,             0.06949,            0.040807,             0.71358,             0.12436,            0.093533,            0.026094,            0.087139,            0.065461,            0.039281,            0.025245,           0.0082452,           0.0082452
                   3,             0.08402,            0.062781,            0.036938,             0.64317,             0.15004,            0.089853,            0.028988,            0.081198,            0.060515,            0.033016,            0.009901,            0.009901,            0.009901
                   4,            0.071751,            0.068123,            0.031721,             0.69014,              0.1629,             0.13208,            0.045632,            0.080203,             0.06572,            0.026841,            0.009901,            0.009901,            0.009901
                   5,            0.067404,            0.067751,            0.026631,             0.69991,             0.20479,             0.17261,            0.057076,            0.064074,            0.055432,            0.024597,            0.009868,            0.009868,            0.009868
                   6,            0.063172,            0.069519,             0.02454,             0.31369,             0.37383,             0.23078,            0.085976,            0.062504,            0.053496,            0.022974,            0.009835,            0.009835,            0.009835
                   7,            0.058721,            0.064228,            0.022416,              0.5684,             0.35859,             0.27693,             0.11695,            0.056813,            0.054466,            0.022377,            0.009802,            0.009802,            0.009802
                   8,            0.054751,            0.063997,             0.02102,             0.52587,             0.46975,             0.40811,             0.17742,            0.053742,            0.049042,            0.017948,            0.009769,            0.009769,            0.009769
                   9,            0.054778,            0.060487,            0.018935,             0.43643,             0.44485,             0.35409,             0.13843,            0.057944,            0.050958,            0.017353,            0.009736,            0.009736,            0.009736
                  10,            0.052897,            0.059874,            0.017265,             0.48523,              0.5001,             0.45523,              0.2107,            0.051719,             0.04865,            0.016012,            0.009703,            0.009703,            0.009703
                  11,            0.050164,            0.059596,            0.016161,             0.49178,             0.51007,             0.45447,             0.21271,            0.051017,            0.048278,            0.015345,             0.00967,             0.00967,             0.00967
                  12,            0.049903,            0.064261,            0.014225,             0.67807,             0.39653,             0.46335,             0.20836,             0.04932,            0.049462,            0.013572,            0.009637,            0.009637,            0.009637
                  13,            0.051126,            0.061144,            0.014228,             0.53971,             0.50617,             0.51817,             0.22319,            0.050431,            0.048407,            0.013458,            0.009604,            0.009604,            0.009604
