               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065511,            0.026557,            0.090772,           0.0045074,             0.96361,            0.041209,             0.01792,            0.039612,            0.010124,            0.081554,             0.07038,           0.0032911,           0.0032911
                   1,            0.045691,            0.017482,            0.086429,           0.0083521,             0.99275,            0.054545,            0.028138,            0.039365,           0.0071116,            0.078915,            0.040336,           0.0065808,           0.0065808
                   2,            0.041902,            0.014859,            0.084159,             0.29706,             0.11893,            0.076422,            0.036071,            0.036413,           0.0073054,            0.079036,            0.010248,           0.0098264,           0.0098264
                   3,            0.037201,            0.013788,            0.080791,             0.28252,             0.26421,            0.093949,            0.055622,            0.029127,           0.0071865,            0.072596,            0.009802,            0.009802,            0.009802
                   4,            0.033511,            0.012982,             0.07833,             0.25907,             0.30324,             0.10323,            0.067422,             0.02806,           0.0070832,            0.072781,            0.009802,            0.009802,            0.009802
                   5,            0.031737,            0.012812,            0.075907,             0.28041,             0.33519,             0.11638,            0.071258,            0.028684,           0.0066649,             0.07018,            0.009736,            0.009736,            0.009736
                   6,            0.031277,            0.012287,             0.07369,              0.1454,             0.37811,             0.15074,             0.10609,            0.023966,           0.0057108,            0.069249,             0.00967,             0.00967,             0.00967
                   7,            0.030902,            0.012395,            0.071756,             0.16919,             0.40825,             0.20955,             0.14201,            0.024442,           0.0057682,            0.066322,            0.009604,            0.009604,            0.009604
                   8,            0.030233,            0.011886,            0.069625,             0.22944,             0.46941,             0.24808,             0.17156,            0.023149,           0.0059749,            0.063661,            0.009538,            0.009538,            0.009538
                   9,            0.030326,            0.011707,            0.067124,             0.24228,              0.4782,             0.29242,             0.19592,            0.023446,           0.0055528,            0.060177,            0.009472,            0.009472,            0.009472
                  10,            0.029446,             0.01181,            0.063856,             0.28749,             0.53215,             0.38587,             0.26729,            0.023833,           0.0055332,            0.057272,            0.009406,            0.009406,            0.009406
                  11,            0.029517,             0.01157,            0.061214,              0.2884,             0.50236,             0.35167,             0.23967,             0.02624,           0.0059105,            0.057129,             0.00934,             0.00934,             0.00934
                  12,            0.029281,             0.01151,            0.058764,             0.35542,             0.55352,             0.43119,             0.28841,             0.02381,           0.0057428,             0.05236,            0.009274,            0.009274,            0.009274
                  13,            0.029525,            0.011306,            0.055552,             0.36749,             0.49878,              0.4332,              0.2895,            0.027584,           0.0061928,            0.053597,            0.009208,            0.009208,            0.009208
                  14,            0.029826,            0.011556,            0.052633,             0.44687,             0.60612,             0.51772,             0.36714,            0.022418,           0.0055238,            0.050901,            0.009142,            0.009142,            0.009142
                  15,            0.029382,            0.011489,             0.05152,             0.46941,             0.58247,             0.55165,             0.38538,            0.025551,           0.0055795,            0.048148,            0.009076,            0.009076,            0.009076
                  16,            0.029598,            0.011361,             0.04763,             0.47023,             0.61494,             0.57566,               0.415,            0.022295,           0.0055912,            0.045441,             0.00901,             0.00901,             0.00901
                  17,            0.030337,            0.011255,            0.047346,             0.41894,             0.53805,             0.45893,             0.30313,            0.025933,           0.0066038,            0.049098,            0.008944,            0.008944,            0.008944
                  18,            0.030748,            0.011711,            0.046108,             0.52772,             0.58219,             0.59359,              0.4271,            0.022758,           0.0054991,            0.043448,            0.008878,            0.008878,            0.008878
                  19,            0.030191,            0.011503,            0.043647,             0.50925,             0.65017,             0.59416,             0.42431,            0.023011,           0.0057759,            0.040953,            0.008812,            0.008812,            0.008812
                  20,             0.02967,            0.011306,            0.041214,             0.55335,             0.61029,             0.63126,             0.45338,            0.023097,           0.0055338,            0.043465,            0.008746,            0.008746,            0.008746
