               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072026,            0.024988,            0.019437,             0.67225,             0.67163,             0.74886,             0.40999,             0.03569,            0.010052,           0.0066916,             0.07037,           0.0032922,           0.0032922
                   1,            0.051991,            0.016549,           0.0095498,             0.66064,             0.70016,             0.76242,             0.35455,            0.040375,           0.0079584,           0.0071681,            0.040327,           0.0065818,           0.0065818
                   2,            0.044412,            0.015567,           0.0095494,             0.53748,             0.52345,             0.51285,             0.23003,            0.040641,            0.011326,            0.023476,            0.010239,           0.0098274,           0.0098274
                   3,            0.039597,             0.01583,            0.010375,             0.74199,             0.72779,             0.78093,             0.44913,            0.031352,           0.0090064,           0.0095896,            0.009802,            0.009802,            0.009802
                   4,            0.036836,            0.014983,           0.0085946,              0.7833,             0.81192,             0.82613,             0.44962,            0.034904,           0.0081313,           0.0056404,            0.009802,            0.009802,            0.009802
                   5,            0.034427,            0.014324,           0.0064812,             0.89143,             0.78279,             0.86586,             0.55437,            0.030769,           0.0077277,           0.0090291,            0.009736,            0.009736,            0.009736
                   6,            0.031504,            0.013735,           0.0063744,             0.88151,             0.87747,             0.93866,             0.64575,            0.025371,           0.0066516,           0.0087663,             0.00967,             0.00967,             0.00967
                   7,            0.030892,            0.013437,           0.0061366,             0.90368,             0.87822,             0.94345,             0.66507,            0.023193,           0.0064552,           0.0063374,            0.009604,            0.009604,            0.009604
                   8,            0.029789,             0.01298,            0.005753,             0.90486,             0.85455,             0.91516,             0.60213,            0.025341,           0.0070093,           0.0068206,            0.009538,            0.009538,            0.009538
                   9,            0.029073,            0.012971,           0.0054503,             0.93663,             0.90284,             0.95747,             0.68321,            0.023645,           0.0063269,           0.0056416,            0.009472,            0.009472,            0.009472
                  10,             0.02856,            0.012468,           0.0049735,             0.96149,             0.91153,             0.97657,             0.71354,            0.021821,           0.0056614,           0.0053637,            0.009406,            0.009406,            0.009406
                  11,            0.027862,              0.0121,            0.004658,             0.94588,             0.92889,             0.96798,             0.69672,            0.023152,           0.0058796,           0.0053165,             0.00934,             0.00934,             0.00934
                  12,            0.027113,            0.012277,           0.0049706,              0.9347,             0.89649,             0.95155,             0.69451,            0.023929,           0.0060615,            0.006861,            0.009274,            0.009274,            0.009274
                  13,            0.027339,            0.012249,           0.0046231,             0.95928,             0.95387,              0.9835,             0.72619,            0.021315,           0.0056271,           0.0035706,            0.009208,            0.009208,            0.009208
                  14,            0.026549,            0.012224,           0.0042816,             0.94606,             0.93842,              0.9787,             0.71819,            0.021609,            0.005583,           0.0026241,            0.009142,            0.009142,            0.009142
                  15,            0.026439,            0.011764,           0.0042517,             0.96196,             0.96145,             0.98274,             0.74261,            0.020757,           0.0054086,           0.0031588,            0.009076,            0.009076,            0.009076
                  16,            0.025735,            0.011557,           0.0041534,             0.95368,             0.93189,             0.97241,             0.71912,            0.021985,           0.0057435,           0.0032153,             0.00901,             0.00901,             0.00901
                  17,            0.025603,            0.011632,           0.0040189,             0.93928,             0.93098,             0.96869,             0.72701,            0.021078,           0.0059123,           0.0051849,            0.008944,            0.008944,            0.008944
                  18,            0.025379,            0.011419,           0.0036221,             0.96401,              0.9439,             0.98108,             0.74947,            0.021203,           0.0054859,           0.0027836,            0.008878,            0.008878,            0.008878
                  19,            0.025213,            0.011554,           0.0035884,              0.9588,             0.94357,             0.97482,             0.72779,            0.021168,           0.0058633,           0.0034355,            0.008812,            0.008812,            0.008812
                  20,            0.025169,            0.011483,            0.003955,             0.97936,             0.94011,             0.98441,             0.75303,            0.020842,           0.0053563,           0.0025799,            0.008746,            0.008746,            0.008746
                  21,            0.024778,            0.011428,           0.0036586,             0.97235,             0.94208,             0.98216,             0.75187,            0.018987,           0.0054193,            0.001649,             0.00868,             0.00868,             0.00868
                  22,             0.02388,            0.011298,           0.0030795,              0.9623,             0.93974,             0.97905,             0.75629,            0.019618,           0.0053728,           0.0042327,            0.008614,            0.008614,            0.008614
                  23,            0.023947,             0.01107,           0.0034786,             0.96698,              0.9686,             0.98597,              0.7771,             0.01869,           0.0050948,           0.0027169,            0.008548,            0.008548,            0.008548
                  24,            0.024126,            0.010909,           0.0031762,             0.95745,             0.94952,             0.98382,             0.76577,            0.019481,           0.0052217,           0.0039354,            0.008482,            0.008482,            0.008482
                  25,            0.023473,            0.010598,           0.0027556,             0.97027,             0.96289,             0.98706,             0.78077,            0.018589,           0.0049919,           0.0017706,            0.008416,            0.008416,            0.008416
                  26,            0.022908,            0.010519,           0.0027172,             0.96824,             0.96244,             0.98635,             0.78357,             0.01789,           0.0050412,           0.0037879,             0.00835,             0.00835,             0.00835
                  27,            0.023114,            0.010569,           0.0025953,             0.96628,             0.95838,             0.98122,             0.76942,            0.018436,           0.0052124,           0.0049816,            0.008284,            0.008284,            0.008284
                  28,            0.022631,            0.010505,           0.0025222,             0.96341,             0.95801,             0.98592,             0.79159,            0.017739,           0.0050017,           0.0024407,            0.008218,            0.008218,            0.008218
